"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,33,33,67,"Herisau AR","Herisau hat die Biodiversitätsinitiative mit 67 Prozent abgelehnt. Herisau hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3002,18.5,18.5,81.5,"Hundwil AR","Nein zur Biodiversitätsinitiative in Hundwil: Mit 308 Nein- zu 70 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 81,5 Prozent. Hundwil hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3003,18.6,18.6,81.4,"Schönengrund AR","Nein zur Biodiversitätsinitiative in Schönengrund. Die Gemeinde hat die Vorlage mit 81,4 Prozent abgelehnt. Schönengrund hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3004,17.4,17.4,82.6,"Schwellbrunn AR","In Schwellbrunn hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 82,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Schwellbrunn hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3005,36.9,36.9,63.1,"Stein AR","Nein zur Biodiversitätsinitiative in Stein AR. Die Gemeinde hat die Vorlage mit 63,1 Prozent abgelehnt. Stein AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3006,17.2,17.2,82.8,"Urnäsch AR","In Urnäsch hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 82,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Urnäsch hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3007,23.9,23.9,76.1,"Waldstatt AR","Keine Mehrheit für die Biodiversitätsinitiative in Waldstatt: Mit 538 Nein-Stimmen zu 169 Ja-Stimmen oder 76,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Waldstatt hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3021,30.9,30.9,69.1,"Bühler AR","Nein zur Biodiversitätsinitiative in Bühler: Mit 386 Nein- zu 173 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 69,1 Prozent. Bühler hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3022,38.5,38.5,61.5,"Gais AR","In Gais hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 61,5 Prozent verworfen. Gais hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3023,44.1,44.1,55.9,"Speicher AR","Nein zur Biodiversitätsinitiative in Speicher: Mit 946 Nein- zu 745 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 55,9 Prozent. Speicher hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3024,37.4,37.4,62.6,"Teufen AR","Nein zur Biodiversitätsinitiative in Teufen AR. Die Gemeinde hat die Vorlage mit 62,6 Prozent abgelehnt. Teufen AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3025,53.2,53.2,46.8,"Trogen AR","Die Gemeinde Trogen hat die Biodiversitätsinitiative mit 53,2 Prozent Ja-Stimmen angenommen. Trogen hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3031,30.4,30.4,69.6,"Grub AR","Grub AR hat die Biodiversitätsinitiative mit 69,6 Prozent abgelehnt. Grub AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3032,39.3,39.3,60.7,"Heiden AR","Nein zur Biodiversitätsinitiative in Heiden: Mit 799 Nein- zu 517 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 60,7 Prozent. Heiden hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3033,33.7,33.7,66.3,"Lutzenberg AR","In Lutzenberg hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 66,3 Prozent verworfen. Lutzenberg hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3034,48.8,48.8,51.2,"Rehetobel AR","In Rehetobel hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 51,2 Prozent verworfen. Rehetobel hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3035,30.3,30.3,69.7,"Reute AR","Nein zur Biodiversitätsinitiative in Reute AR. Die Gemeinde hat die Vorlage mit 69,7 Prozent abgelehnt. Reute AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3036,41.5,41.5,58.5,"Wald AR","Keine Mehrheit für die Biodiversitätsinitiative in Wald AR: Mit 228 Nein-Stimmen zu 162 Ja-Stimmen oder 58,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Wald AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3037,30.4,30.4,69.6,"Walzenhausen AR","Nein zur Biodiversitätsinitiative in Walzenhausen. Die Gemeinde hat die Vorlage mit 69,6 Prozent abgelehnt. Walzenhausen hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3038,26.4,26.4,73.6,"Wolfhalden AR","Nein zur Biodiversitätsinitiative in Wolfhalden: Mit 542 Nein- zu 194 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 73,6 Prozent. Wolfhalden hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
