"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,53.5,53.5,46.5,"Aarberg BE","NA NA"
302,38.1,38.1,61.9,"Bargen BE","NA NA"
303,28.3,28.3,71.7,"Grossaffoltern BE","NA NA"
304,7.1,7.1,92.9,"Kallnach BE","NA NA"
305,52.6,52.6,47.4,"Kappelen BE","NA NA"
306,84,84,16,"Lyss BE","NA NA"
307,75.4,75.4,24.6,"Meikirch BE","NA NA"
309,58,58,42,"Radelfingen BE","NA NA"
310,89.2,89.2,10.8,"Rapperswil BE","NA NA"
311,69.4,69.4,30.6,"Schüpfen BE","NA NA"
312,95.1,95.1,4.9,"Seedorf BE","NA NA"
321,42.7,42.7,57.3,"Aarwangen BE","NA NA"
322,44.4,44.4,55.6,"Auswil BE","NA NA"
323,36.5,36.5,63.5,"Bannwil BE","NA NA"
324,28.3,28.3,71.7,"Bleienbach BE","NA NA"
325,39.7,39.7,60.3,"Busswil bei Melchnau BE","NA NA"
326,1.8,1.8,98.2,"Gondiswil BE","NA NA"
329,5.6,5.6,94.4,"Langenthal BE","NA NA"
331,66.8,66.8,33.2,"Lotzwil BE","NA NA"
332,25,25,75,"Madiswil BE","NA NA"
333,38.6,38.6,61.4,"Melchnau BE","NA NA"
335,68.2,68.2,31.8,"Oeschenbach BE","NA NA"
336,88.9,88.9,11.1,"Reisiswil BE","NA NA"
337,71.2,71.2,28.8,"Roggwil BE","NA NA"
338,32.9,32.9,67.1,"Rohrbach BE","NA NA"
339,44.3,44.3,55.7,"Rohrbachgraben BE","NA NA"
340,50.6,50.6,49.4,"Rütschelen BE","NA NA"
341,14.2,14.2,85.8,"Schwarzhäusern BE","NA NA"
342,27.6,27.6,72.4,"Thunstetten BE","NA NA"
344,63.9,63.9,36.1,"Ursenbach BE","NA NA"
345,70.5,70.5,29.5,"Wynau BE","NA NA"
351,36.3,36.3,63.7,"Bern BE","NA NA"
352,53.8,53.8,46.2,"Bolligen BE","NA NA"
353,27.9,27.9,72.1,"Bremgarten bei Bern BE","NA NA"
354,47.8,47.8,52.2,"Kirchlindach BE","NA NA"
355,35.7,35.7,64.3,"Köniz BE","NA NA"
356,48.6,48.6,51.4,"Muri bei Bern BE","NA NA"
357,50.5,50.5,49.5,"Oberbalm BE","NA NA"
358,93.7,93.7,6.3,"Stettlen BE","NA NA"
359,60.9,60.9,39.1,"Vechigen BE","NA NA"
360,6.8,6.8,93.2,"Wohlen bei Bern BE","NA NA"
361,85.6,85.6,14.4,"Zollikofen BE","NA NA"
362,88.4,88.4,11.6,"Ittigen BE","NA NA"
363,80,80,20,"Ostermundigen BE","NA NA"
