"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
301,34.6,34.6,65.4,"Aarberg (BE)","A Aarberg, les habitants sont défavorables à l'initiative du Centre ""pour un frein aux coûts"" avec 65,4 pour cent des voix. Aarberg a rejeté l'initiative, tout comme son canton."
302,39.4,39.4,60.6,"Bargen (BE)","L'initiative du Centre ""pour un frein aux coûts"" échoue à Bargen (BE) avec 60,6 pour cent des suffrages. Bargen (BE) a rejeté l'initiative, tout comme son canton."
303,37.9,37.9,62.1,"Grossaffoltern (BE)","A Grossaffoltern, les habitants disent non à 62,1 pour cent à l'initiative du Centre pour un ""frein aux coûts"". Grossaffoltern a rejeté l'initiative, tout comme son canton."
304,42.8,42.8,57.2,"Kallnach (BE)","C'est non à 57,2 pour cent à l'initiative du Centre ""pour un frein aux coûts"" à Kallnach. Kallnach a rejeté l'initiative, tout comme son canton."
305,44.4,44.4,55.6,"Kappelen (BE)","L'initiative du Centre ""pour un frein aux coûts"" échoue à Kappelen avec 55,6 pour cent des suffrages. Kappelen a rejeté l'initiative, tout comme son canton."
306,41.6,41.6,58.4,"Lyss (BE)","Les habitants de Lyss rejettent l'initiative du Centre ""pour un frein aux coûts"" avec 58,4 pour cent de non. Lyss a rejeté l'initiative, tout comme son canton."
307,33.7,33.7,66.3,"Meikirch (BE)","Les habitants de Meikirch s'opposent à l'initiative du Centre ""pour un frein aux coûts"" avec 66,3 pour cent de non. Meikirch a rejeté l'initiative, tout comme son canton."
309,38.7,38.7,61.3,"Radelfingen (BE)","A Radelfingen, les habitants sont défavorables à l'initiative du Centre ""pour un frein aux coûts"" avec 61,3 pour cent des voix. Radelfingen a rejeté l'initiative, tout comme son canton."
310,36.9,36.9,63.1,"Rapperswil (BE)","Les habitants de Rapperswil (BE) rejettent l'initiative du Centre ""pour un frein aux coûts"" avec 63,1 pour cent de non. Rapperswil (BE) a rejeté l'initiative, tout comme son canton."
311,35.6,35.6,64.4,"Schüpfen (BE)","A Schüpfen, les habitants disent non à 64,4 pour cent à l'initiative du Centre pour un ""frein aux coûts"". Schüpfen a rejeté l'initiative, tout comme son canton."
