"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,71.7,71.7,28.3,"Boécourt (JU)","C'est oui à 71,7 pour cent à Boécourt au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6703,65.7,65.7,34.3,"Bourrignon (JU)","Les habitants de Bourrignon acceptent avec 65,7 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6704,70.1,70.1,29.9,"Châtillon (JU)","Les habitants de Châtillon (JU) ont approuvé avec 70,1 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6706,90.3,90.3,9.7,"Courchapoix (JU)","C'est oui à 90,3 pour cent à Courchapoix au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6708,73.1,73.1,26.9,"Courrendlin (JU)","Les habitants de Courrendlin ont approuvé avec 73,1 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6709,76.3,76.3,23.7,"Courroux (JU)","C'est oui à 76,3 pour cent à Courroux au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6710,76.9,76.9,23.1,"Courtételle (JU)","Les habitants de Courtételle acceptent avec 76,9 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6711,81.2,81.2,18.8,"Delémont (JU)","Les habitants de Delémont ont approuvé avec 81,2 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6712,76.1,76.1,23.9,"Develier (JU)","Les habitants de Develier acceptent avec 76,1 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6713,48.9,48.9,51.1,"Ederswiler (JU)","Le concordat réglant le transfert de Moutier ne passe pas la rampe à Ederswiler. Les habitants de cette petite commune sont 24 à dire non à ce texte, qui exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6715,80.1,80.1,19.9,"Mervelier (JU)","Les habitants de Mervelier ont approuvé avec 80,1 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6716,81.8,81.8,18.2,"Mettembert (JU)","Le Concordat réglant le transfert de Moutier passe la rampe à Mettembert. Les habitants de cette petite commune sont 45 à dire oui à ce texte, qui exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6718,62.1,62.1,37.9,"Movelier (JU)","C'est oui à 62,1 pour cent à Movelier au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6719,76.7,76.7,23.3,"Pleigne (JU)","C'est oui à 76,7 pour cent à Pleigne au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6721,72.5,72.5,27.5,"Rossemaison (JU)","Les habitants de Rossemaison acceptent avec 72,5 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6722,78.7,78.7,21.3,"Saulcy (JU)","C'est oui à 78,7 pour cent à Saulcy au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6724,77.9,77.9,22.1,"Soyhières (JU)","Les habitants de Soyhières acceptent avec 77,9 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6729,74.1,74.1,25.9,"Haute-Sorne (JU)","C'est oui à 74,1 pour cent à Haute-Sorne au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6730,76.9,76.9,23.1,"Val Terbi (JU)","Les habitants de Val Terbi ont approuvé avec 76,9 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6741,74.1,74.1,25.9,"Le Bémont (JU)","Les habitants du Bémont (JU) acceptent avec 74,1 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6742,74,74,26,"Les Bois (JU)","C'est oui à 74 pour cent aux Bois au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6743,77.6,77.6,22.4,"Les Breuleux (JU)","C'est oui à 77,6 pour cent aux Breuleux au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6745,64.7,64.7,35.3,"Les Enfers (JU)","Le Concordat réglant le transfert de Moutier passe la rampe aux Enfers. Les habitants de cette petite commune sont 44 à dire oui à ce texte, qui exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6748,69.4,69.4,30.6,"Les Genevez (JU)","Les habitants des Genevez (JU) ont approuvé avec 69,4 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6750,91,91,9,"Lajoux (JU)","C'est oui à 91 pour cent à Lajoux (JU) au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6751,77.4,77.4,22.6,"Montfaucon (JU)","Les habitants de Montfaucon acceptent avec 77,4 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6753,66.1,66.1,33.9,"Muriaux (JU)","Les habitants de Muriaux ont approuvé avec 66,1 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6754,76.6,76.6,23.4,"Le Noirmont (JU)","Les habitants du Noirmont ont approuvé avec 76,6 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6757,79.6,79.6,20.4,"Saignelégier (JU)","C'est oui à 79,6 pour cent à Saignelégier au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6758,76,76,24,"Saint-Brais (JU)","C'est oui à 76 pour cent à Saint-Brais au transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6759,53.2,53.2,46.8,"Soubey (JU)","Le Concordat réglant le transfert de Moutier passe la rampe à Soubey. Les habitants de cette petite commune sont 33 à dire oui à ce texte, qui exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6771,64.4,64.4,35.6,"Alle (JU)","Les habitants d'Alle ont approuvé avec 64,4 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6774,71.4,71.4,28.6,"Boncourt (JU)","Les habitants de Boncourt acceptent avec 71,4 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6778,49,49,51,"Bure (JU)","Les habitants de Bure refusent par 51 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6781,63.8,63.8,36.2,"Coeuve (JU)","Les habitants de Coeuve acceptent avec 63,8 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6782,66.6,66.6,33.4,"Cornol (JU)","Les habitants de Cornol ont approuvé avec 66,6 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6783,56.3,56.3,43.7,"Courchavon (JU)","Les habitants de Courchavon acceptent avec 56,3 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6784,60,60,40,"Courgenay (JU)","Les habitants de Courgenay ont approuvé avec 60 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6785,68.2,68.2,31.8,"Courtedoux (JU)","Les habitants de Courtedoux acceptent avec 68,2 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6789,63.8,63.8,36.2,"Fahy (JU)","Les habitants de Fahy ont approuvé avec 63,8 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6790,67.6,67.6,32.4,"Fontenais (JU)","Les habitants de Fontenais ont approuvé avec 67,6 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6792,65.5,65.5,34.5,"Grandfontaine (JU)","Les habitants de Grandfontaine ont approuvé avec 65,5 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6800,68.7,68.7,31.3,"Porrentruy (JU)","Les habitants de Porrentruy ont approuvé avec 68,7 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6806,57.6,57.6,42.4,"Vendlincourt (JU)","Les habitants de Vendlincourt ont approuvé avec 57,6 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6807,65.2,65.2,34.8,"Basse-Allaine (JU)","Les habitants de Basse-Allaine ont approuvé avec 65,2 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6808,73.9,73.9,26.1,"Clos du Doubs (JU)","Les habitants de Clos du Doubs acceptent avec 73,9 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6809,62.9,62.9,37.1,"Haute-Ajoie (JU)","Les habitants de Haute-Ajoie ont approuvé avec 62,9 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6810,63.7,63.7,36.3,"La Baroche (JU)","Les habitants de La Baroche ont approuvé avec 63,7 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6811,63,63,37,"Damphreux-Lugnez (JU)","Les habitants de Damphreux-Lugnez ont approuvé avec 63 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
6812,63.5,63.5,36.5,"Basse-Vendline (JU)","Les habitants de Basse-Vendline acceptent avec 63,5 pour cent de oui le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
301,85.8,85.8,14.2,"Aarberg (BE)","Les habitants d'Aarberg acceptent à 85,8 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
302,82,82,18,"Bargen (BE)","C'est oui à 82 pour cent  à Bargen (BE) au concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
303,83.8,83.8,16.2,"Grossaffoltern (BE)","C'est oui à 83,8 pour cent  à Grossaffoltern au concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
304,82.7,82.7,17.3,"Kallnach (BE)","Les habitants de Kallnach ont approuvé avec 82,7 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
305,77,77,23,"Kappelen (BE)","C'est oui à 77 pour cent  à Kappelen au concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
306,84.3,84.3,15.7,"Lyss (BE)","Les habitants de Lyss ont approuvé avec 84,3 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
307,84.1,84.1,15.9,"Meikirch (BE)","Les habitants de Meikirch acceptent à 84,1 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
309,86.1,86.1,13.9,"Radelfingen (BE)","Les habitants de Radelfingen ont approuvé avec 86,1 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
310,83.4,83.4,16.6,"Rapperswil (BE)","Les habitants de Rapperswil (BE) ont approuvé avec 83,4 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
311,86.8,86.8,13.2,"Schüpfen (BE)","C'est oui à 86,8 pour cent  à Schüpfen au concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
312,80.3,80.3,19.7,"Seedorf (BE)","Les habitants de Seedorf (BE) acceptent à 80,3 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
321,83.7,83.7,16.3,"Aarwangen (BE)","Les habitants d'Aarwangen acceptent à 83,7 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
322,75,75,25,"Auswil (BE)","Les habitants d'Auswil ont approuvé avec 75 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
323,79.4,79.4,20.6,"Bannwil (BE)","Les habitants de Bannwil acceptent à 79,4 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
324,77.2,77.2,22.8,"Bleienbach (BE)","Les habitants de Bleienbach acceptent à 77,2 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
325,75.9,75.9,24.1,"Busswil bei Melchnau (BE)","Le Concordat réglant le transfert de Moutier passe la rampe à Busswil bei Melchnau. Les habitants de cette petite commune sont 63 à dire oui à ce texte, qui exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
326,77.7,77.7,22.3,"Gondiswil (BE)","Les habitants de Gondiswil ont approuvé avec 77,7 pour cent des voix le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
329,86,86,14,"Langenthal (BE)","C'est oui à 86 pour cent  à Langenthal au concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
331,82.7,82.7,17.3,"Lotzwil (BE)","Les habitants de Lotzwil acceptent à 82,7 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
332,77.2,77.2,22.8,"Madiswil (BE)","C'est oui à 77,2 pour cent  à Madiswil au concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
333,81.9,81.9,18.1,"Melchnau (BE)","Les habitants de Melchnau acceptent à 81,9 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
335,83.8,83.8,16.2,"Oeschenbach (BE)","Le Concordat réglant le transfert de Moutier passe la rampe à Oeschenbach. Les habitants de cette petite commune sont 57 à dire oui à ce texte, qui exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
336,80,80,20,"Reisiswil (BE)","Le Concordat réglant le transfert de Moutier passe la rampe à Reisiswil. Les habitants de cette petite commune sont 56 à dire oui à ce texte, qui exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
337,83.9,83.9,16.1,"Roggwil (BE)","C'est oui à 83,9 pour cent  à Roggwil (BE) au concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
338,83.3,83.3,16.7,"Rohrbach (BE)","Les habitants de Rohrbach acceptent à 83,3 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
339,81,81,19,"Rohrbachgraben (BE)","Les habitants de Rohrbachgraben acceptent à 81 pour cent le Concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
340,77,77,23,"Rütschelen (BE)","C'est oui à 77 pour cent  à Rütschelen au concordat réglant le transfert de Moutier dans le canton du Jura. Ce texte exige que les deux cantons s'engagent à respecter leurs frontières dans l'esprit de la paix confédérale, mettant donc un terme à tout différend territorial."
