"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2008,85.2,85.2,14.8,"Châtillon FR","Ja zur Biodiversitätsinitiative in Châtillon FR. Die Gemeinde hat das Volksbegehren mit 85,2 Prozent der Stimmen angenommen. Châtillon FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2011,12.8,12.8,87.2,"Cugy FR","Keine Mehrheit für die Biodiversitätsinitiative in Cugy FR: Mit 2'053 Nein-Stimmen zu 302 Ja-Stimmen oder 87,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Cugy FR hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2016,39.8,39.8,60.2,"Fétigny FR","Nein zur Biodiversitätsinitiative in Fétigny: Mit 5'528 Nein- zu 3'658 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 60,2 Prozent. Fétigny hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2022,46.4,46.4,53.6,"Gletterens FR","In Gletterens hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 53,6 Prozent verworfen. Gletterens hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2025,48.8,48.8,51.2,"Lully FR","Keine Mehrheit für die Biodiversitätsinitiative in Lully FR: Mit 8'123 Nein-Stimmen zu 7'745 Ja-Stimmen oder 51,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Lully FR hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2027,2.5,2.5,97.5,"Ménières FR","Nein zur Biodiversitätsinitiative in Ménières: Mit 9'106 Nein- zu 233 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 97,5 Prozent. Ménières hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2029,36.8,36.8,63.2,"Montagny FR","In Montagny FR hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 63,2 Prozent der abgegebenen Stimmzettel stand ein Nein. Montagny FR hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2035,29.6,29.6,70.4,"Nuvilly FR","In Nuvilly hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 70,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Nuvilly hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2038,38.3,38.3,61.7,"Prévondavaux FR","In Prévondavaux hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 61,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Prévondavaux hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2041,79,79,21,"Saint-Aubin FR","Ja zur Biodiversitätsinitiative in Saint-Aubin FR: Mit 79 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Saint-Aubin FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2043,37.4,37.4,62.6,"Sévaz FR","Sévaz hat die Biodiversitätsinitiative mit 62,6 Prozent abgelehnt. Sévaz hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2044,37.8,37.8,62.2,"Surpierre FR","Nein zur Biodiversitätsinitiative in Surpierre: Mit 9'865 Nein- zu 5'991 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 62,2 Prozent. Surpierre hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2045,28.5,28.5,71.5,"Vallon FR","71,5 Prozent der Stimmbürgerinnen und Stimmbürger von Vallon haben Nein gesagt zur Biodiversitätsinitiative. Vallon hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2050,76.8,76.8,23.2,"Les Montets FR","76,8 Prozent der Stimmbürgerinnen und Stimmbürger von Les Montets haben die Biodiversitätsinitiative angenommen. Les Montets hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2051,56.9,56.9,43.1,"Delley-Portalban FR","In Delley-Portalban hat die Stimmbevölkerung der Biodiversitätsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 56,9 Prozent angenommen. Delley-Portalban hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2053,39.7,39.7,60.3,"Belmont-Broye FR","Keine Mehrheit für die Biodiversitätsinitiative in Belmont-Broye: Mit 6'125 Nein-Stimmen zu 4'029 Ja-Stimmen oder 60,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Belmont-Broye hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2054,29.9,29.9,70.1,"Estavayer FR","In Estavayer hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 70,1 Prozent verworfen. Estavayer hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2055,2.1,2.1,97.9,"Cheyres-Châbles FR","Nein zur Biodiversitätsinitiative in Cheyres-Châbles: Mit 8'003 Nein- zu 173 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 97,9 Prozent. Cheyres-Châbles hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Freiburg."
2061,49.5,49.5,50.5,"Auboranges FR","Nein zur Biodiversitätsinitiative in Auboranges: Mit 9'735 Nein- zu 9'545 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 50,5 Prozent. Auboranges hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2063,58.6,58.6,41.4,"Billens-Hennens FR","Die Gemeinde Billens-Hennens hat die Biodiversitätsinitiative mit 58,6 Prozent Ja-Stimmen angenommen. Billens-Hennens hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2066,72.9,72.9,27.1,"Chapelle (Glâne) FR","72,9 Prozent der Abstimmenden in der Gemeinde Chapelle (Glâne) haben Ja gesagt zur Biodiversitätsinitiative. Chapelle (Glâne) hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2067,31.2,31.2,68.8,"Le Châtelard FR","Le Châtelard hat die Biodiversitätsinitiative mit 68,8 Prozent abgelehnt. Le Châtelard hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2068,56.3,56.3,43.7,"Châtonnaye FR","56,3 Prozent der Stimmbürgerinnen und Stimmbürger von Châtonnaye haben die Biodiversitätsinitiative angenommen. Châtonnaye hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2072,70.9,70.9,29.1,"Ecublens FR","70,9 Prozent der Abstimmenden in der Gemeinde Ecublens FR haben Ja gesagt zur Biodiversitätsinitiative. Ecublens FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2079,35.2,35.2,64.8,"Grangettes FR","Keine Mehrheit für die Biodiversitätsinitiative in Grangettes: Mit 4'757 Nein-Stimmen zu 2'581 Ja-Stimmen oder 64,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Grangettes hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2086,39.9,39.9,60.1,"Massonnens FR","Keine Mehrheit für die Biodiversitätsinitiative in Massonnens: Mit 6'672 Nein-Stimmen zu 4'430 Ja-Stimmen oder 60,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Massonnens hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2087,72.4,72.4,27.6,"Mézières FR","72,4 Prozent der Stimmbürgerinnen und Stimmbürger von Mézières FR haben die Biodiversitätsinitiative angenommen. Mézières FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2089,17.6,17.6,82.4,"Montet (Glâne) FR","Nein zur Biodiversitätsinitiative in Montet (Glâne): Mit 8'238 Nein- zu 1'761 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 82,4 Prozent. Montet (Glâne) hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2096,38.1,38.1,61.9,"Romont FR","Nein zur Biodiversitätsinitiative in Romont FR. Die Gemeinde hat die Vorlage mit 61,9 Prozent abgelehnt. Romont FR hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2097,30.1,30.1,69.9,"Rue FR","Keine Mehrheit für die Biodiversitätsinitiative in Rue: Mit 8'319 Nein-Stimmen zu 3'586 Ja-Stimmen oder 69,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Rue hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
