"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,29.8,29.8,70.2,"Aire-la-Ville GE","NA NA"
6602,83.5,83.5,16.5,"Anières GE","NA NA"
6603,61.1,61.1,38.9,"Avully GE","NA NA"
6604,21.7,21.7,78.3,"Avusy GE","NA NA"
6605,28.6,28.6,71.4,"Bardonnex GE","NA NA"
6606,31.5,31.5,68.5,"Bellevue GE","NA NA"
6607,34.9,34.9,65.1,"Bernex GE","NA NA"
6608,95.3,95.3,4.7,"Carouge GE","NA NA"
6609,77.8,77.8,22.2,"Cartigny GE","NA NA"
6610,80.1,80.1,19.9,"Céligny GE","NA NA"
6611,7.3,7.3,92.7,"Chancy GE","NA NA"
6612,47.7,47.7,52.3,"Chêne-Bougeries GE","NA NA"
6613,81.4,81.4,18.6,"Chêne-Bourg GE","NA NA"
6614,55.7,55.7,44.3,"Choulex GE","NA NA"
6615,59.4,59.4,40.6,"Collex-Bossy GE","NA NA"
6616,50,50,50,"Collonge-Bellerive GE","NA NA"
6617,34.2,34.2,65.8,"Cologny GE","NA NA"
6618,6.3,6.3,93.7,"Confignon GE","NA NA"
6619,93,93,7,"Corsier GE","NA NA"
6620,65.3,65.3,34.7,"Dardagny GE","NA NA"
6621,33.5,33.5,66.5,"Genf GE","NA NA"
6622,90.6,90.6,9.4,"Genthod GE","NA NA"
6623,73.2,73.2,26.8,"Le Grand-Saconnex GE","NA NA"
6624,67.1,67.1,32.9,"Gy GE","NA NA"
6625,82.3,82.3,17.7,"Hermance GE","NA NA"
6626,49.4,49.4,50.6,"Jussy GE","NA NA"
6627,26.3,26.3,73.7,"Laconnex GE","NA NA"
6628,40.6,40.6,59.4,"Lancy GE","NA NA"
6629,6.4,6.4,93.6,"Meinier GE","NA NA"
6630,91.6,91.6,8.4,"Meyrin GE","NA NA"
6631,38.5,38.5,61.5,"Onex GE","NA NA"
6632,64.5,64.5,35.5,"Perly-Certoux GE","NA NA"
6633,46.5,46.5,53.5,"Plan-les-Ouates GE","NA NA"
6634,45.5,45.5,54.5,"Pregny-Chambésy GE","NA NA"
6635,55.2,55.2,44.8,"Presinge GE","NA NA"
6636,6.2,6.2,93.8,"Puplinge GE","NA NA"
6637,55,55,45,"Russin GE","NA NA"
6638,7.5,7.5,92.5,"Satigny GE","NA NA"
6639,48.8,48.8,51.2,"Soral GE","NA NA"
6640,86,86,14,"Thônex GE","NA NA"
6641,38.9,38.9,61.1,"Troinex GE","NA NA"
6642,73.1,73.1,26.9,"Vandoeuvres GE","NA NA"
6643,54.1,54.1,45.9,"Vernier GE","NA NA"
6644,35.5,35.5,64.5,"Versoix GE","NA NA"
6645,71.1,71.1,28.9,"Veyrier GE","NA NA"
