"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,33.7,33.7,66.3,"Boécourt (JU)","A Boécourt, les habitants disent non à 66,3 pour cent à l'initiative pour la biodiversité. Boécourt a rejeté l'initiative, tout comme son canton."
6703,18.7,18.7,81.3,"Bourrignon (JU)","Les habitants de Bourrignon s'opposent à l'initiative pour la biodiversité avec 81,3 pour cent de non. Bourrignon a rejeté l'initiative, tout comme son canton."
6704,31.9,31.9,68.1,"Châtillon (JU)","Les habitants de Châtillon (JU) rejettent l'initiative pour la biodiversité avec 68,1 pour cent de non. Châtillon (JU) a rejeté l'initiative, tout comme son canton."
6706,21.6,21.6,78.4,"Courchapoix (JU)","A Courchapoix, les habitants disent non à 78,4 pour cent à l'initiative pour la biodiversité. Courchapoix a rejeté l'initiative, tout comme son canton."
6708,32,32,68,"Courrendlin (JU)","Les habitants de Courrendlin rejettent l'initiative pour la biodiversité avec 68 pour cent de non. Courrendlin a rejeté l'initiative, tout comme son canton."
6709,37.3,37.3,62.7,"Courroux (JU)","A Courroux, les habitants sont défavorables à l'initiative pour la biodiversité avec 62,7 pour cent des voix. Courroux a rejeté l'initiative, tout comme son canton."
6710,36.7,36.7,63.3,"Courtételle (JU)","A Courtételle, les habitants sont défavorables à l'initiative pour la biodiversité avec 63,3 pour cent des voix. Courtételle a rejeté l'initiative, tout comme son canton."
6711,48.1,48.1,51.9,"Delémont (JU)","Les habitants de Delémont rejettent l'initiative pour la biodiversité avec 51,9 pour cent de non. Delémont a rejeté l'initiative, tout comme son canton."
6712,30.9,30.9,69.1,"Develier (JU)","L'initiative pour la biodiversité ne passe pas la rampe à Develier avec 69,1 pour cent de non. Develier a rejeté l'initiative, tout comme son canton."
6713,17.9,17.9,82.1,"Ederswiler (JU)","L'initiative pour la biodiversité est rejetée à Ederswiler. Les électeurs de cette petite commune sont 46 à dire non et 10 à accepter le texte. Ederswiler a rejeté l'initiative, tout comme son canton."
6715,41.4,41.4,58.6,"Mervelier (JU)","C'est non à 58,6 pour cent à l'initiative pour la biodiversité à Mervelier. Mervelier a rejeté l'initiative, tout comme son canton."
6716,45.6,45.6,54.4,"Mettembert (JU)","L'initiative pour la biodiversité est rejetée à Mettembert. Les électeurs de cette petite commune sont 31 à dire non et 26 à accepter le texte. Mettembert a rejeté l'initiative, tout comme son canton."
6718,30,30,70,"Movelier (JU)","L'initiative pour la biodiversité échoue à Movelier avec 70 pour cent des suffrages. Movelier a rejeté l'initiative, tout comme son canton."
6719,33.1,33.1,66.9,"Pleigne (JU)","L'initiative pour la biodiversité échoue à Pleigne avec 66,9 pour cent des suffrages. Pleigne a rejeté l'initiative, tout comme son canton."
6721,38.6,38.6,61.4,"Rossemaison (JU)","Les habitants de Rossemaison s'opposent à l'initiative pour la biodiversité avec 61,4 pour cent de non. Rossemaison a rejeté l'initiative, tout comme son canton."
6722,25.7,25.7,74.3,"Saulcy (JU)","A Saulcy, les habitants disent non à 74,3 pour cent à l'initiative pour la biodiversité. Saulcy a rejeté l'initiative, tout comme son canton."
6724,33.8,33.8,66.2,"Soyhières (JU)","L'initiative pour la biodiversité ne passe pas la rampe à Soyhières avec 66,2 pour cent de non. Soyhières a rejeté l'initiative, tout comme son canton."
6729,34.8,34.8,65.2,"Haute-Sorne (JU)","L'initiative pour la biodiversité échoue à Haute-Sorne avec 65,2 pour cent des suffrages. Haute-Sorne a rejeté l'initiative, tout comme son canton."
6730,30.4,30.4,69.6,"Val Terbi (JU)","C'est non à 69,6 pour cent à l'initiative pour la biodiversité à Val Terbi. Val Terbi a rejeté l'initiative, tout comme son canton."
6741,24.5,24.5,75.5,"Le Bémont (JU)","Les habitants du Bémont (JU) s'opposent à l'initiative pour la biodiversité avec 75,5 pour cent de non. Le Bémont (JU) a rejeté l'initiative, tout comme son canton."
6742,46.4,46.4,53.6,"Les Bois (JU)","L'initiative pour la biodiversité échoue aux Bois avec 53,6 pour cent des suffrages. Les Bois a rejeté l'initiative, tout comme son canton."
6743,34.6,34.6,65.4,"Les Breuleux (JU)","Aux Breuleux, les habitants disent non à 65,4 pour cent à l'initiative pour la biodiversité. Les Breuleux a rejeté l'initiative, tout comme son canton."
6745,45.1,45.1,54.9,"Les Enfers (JU)","L'initiative pour la biodiversité ne passe pas la rampe aux Enfers. Les électeurs de cette petite commune sont 39 à refuser le texte et 32 à l'approuver. Les Enfers a rejeté l'initiative, tout comme son canton."
6748,37.4,37.4,62.6,"Les Genevez (JU)","C'est non à 62,6 pour cent à l'initiative pour la biodiversité aux Genevez (JU). Les Genevez (JU) a rejeté l'initiative, tout comme son canton."
6750,44.6,44.6,55.4,"Lajoux (JU)","L'initiative pour la biodiversité échoue à Lajoux (JU) avec 55,4 pour cent des suffrages. Lajoux (JU) a rejeté l'initiative, tout comme son canton."
6751,29.1,29.1,70.9,"Montfaucon (JU)","Les habitants de Montfaucon s'opposent à l'initiative pour la biodiversité avec 70,9 pour cent de non. Montfaucon a rejeté l'initiative, tout comme son canton."
6753,29.7,29.7,70.3,"Muriaux (JU)","Les habitants de Muriaux rejettent l'initiative pour la biodiversité avec 70,3 pour cent de non. Muriaux a rejeté l'initiative, tout comme son canton."
