"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2401,23.4,23.4,76.6,"Egerkingen SO","In Egerkingen hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 76,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Egerkingen hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2402,22.2,22.2,77.8,"Härkingen SO","Nein zur Biodiversitätsinitiative in Härkingen. Die Gemeinde hat die Vorlage mit 77,8 Prozent abgelehnt. Härkingen hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2403,26.2,26.2,73.8,"Kestenholz SO","Keine Mehrheit für die Biodiversitätsinitiative in Kestenholz: Mit 464 Nein-Stimmen zu 165 Ja-Stimmen oder 73,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Kestenholz hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2404,22.8,22.8,77.2,"Neuendorf SO","In Neuendorf hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 77,2 Prozent verworfen. Neuendorf hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2405,16.1,16.1,83.9,"Niederbuchsiten SO","Nein zur Biodiversitätsinitiative in Niederbuchsiten: Mit 329 Nein- zu 63 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 83,9 Prozent. Niederbuchsiten hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2406,25.2,25.2,74.8,"Oberbuchsiten SO","Nein zur Biodiversitätsinitiative in Oberbuchsiten: Mit 401 Nein- zu 135 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 74,8 Prozent. Oberbuchsiten hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2407,27.1,27.1,72.9,"Oensingen SO","In Oensingen hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 72,9 Prozent verworfen. Oensingen hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2408,22,22,78,"Wolfwil SO","In Wolfwil hat die Biodiversitätsinitiative keine Mehrheit gefunden. Auf 78 Prozent der abgegebenen Stimmzettel stand ein Nein. Wolfwil hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2421,24.4,24.4,75.6,"Aedermannsdorf SO","In Aedermannsdorf hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 75,6 Prozent verworfen. Aedermannsdorf hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2422,30.3,30.3,69.7,"Balsthal SO","Keine Mehrheit für die Biodiversitätsinitiative in Balsthal: Mit 1'003 Nein-Stimmen zu 437 Ja-Stimmen oder 69,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Balsthal hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2424,20.7,20.7,79.3,"Herbetswil SO","Keine Mehrheit für die Biodiversitätsinitiative in Herbetswil: Mit 142 Nein-Stimmen zu 37 Ja-Stimmen oder 79,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Herbetswil hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2425,24.6,24.6,75.4,"Holderbank SO","75,4 Prozent der Stimmbürgerinnen und Stimmbürger von Holderbank SO haben Nein gesagt zur Biodiversitätsinitiative. Holderbank SO hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2426,21,21,79,"Laupersdorf SO","79 Prozent der Stimmbürgerinnen und Stimmbürger von Laupersdorf haben Nein gesagt zur Biodiversitätsinitiative. Laupersdorf hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2427,18.9,18.9,81.1,"Matzendorf SO","In Matzendorf hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 81,1 Prozent verworfen. Matzendorf hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2428,16.4,16.4,83.6,"Mümliswil-Ramiswil SO","83,6 Prozent der Stimmbürgerinnen und Stimmbürger von Mümliswil-Ramiswil haben Nein gesagt zur Biodiversitätsinitiative. Mümliswil-Ramiswil hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2430,21.5,21.5,78.5,"Welschenrohr-Gänsbrunnen SO","Keine Mehrheit für die Biodiversitätsinitiative in Welschenrohr-Gänsbrunnen: Mit 325 Nein-Stimmen zu 89 Ja-Stimmen oder 78,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Welschenrohr-Gänsbrunnen hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2445,21.1,21.1,78.9,"Biezwil SO","78,9 Prozent der Stimmbürgerinnen und Stimmbürger von Biezwil haben Nein gesagt zur Biodiversitätsinitiative. Biezwil hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
2455,32.2,32.2,67.8,"Lüterkofen-Ichertswil SO","Keine Mehrheit für die Biodiversitätsinitiative in Lüterkofen-Ichertswil: Mit 217 Nein-Stimmen zu 103 Ja-Stimmen oder 67,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Lüterkofen-Ichertswil hat damit gleich wie der Kanton Solothurn Nein gesagt zu dieser Vorlage."
