"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1301,52.3,52.3,47.7,"Einsiedeln SZ","Ja zur Pensionskassenreform in Einsiedeln. Die Gemeinde hat Vorlage mit 52,3 Prozent der Stimmen angenommen. Damit hat in Einsiedeln seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 70,5 Prozent ein Nein in die Urne gelegt."
1311,76.1,76.1,23.9,"Gersau SZ","Ja zur Pensionskassenreform in Gersau. Die Gemeinde hat Vorlage mit 76,1 Prozent der Stimmen angenommen. Damit hat in Gersau seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 66,4 Prozent ein Nein in die Urne gelegt."
1321,62.3,62.3,37.7,"Feusisberg SZ","62,3 Prozent der Stimmbürgerinnen und Stimmbürger von Feusisberg haben sich für die Pensionskassenreform ausgesprochen. Damit hat in Feusisberg seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 62,6 Prozent ein Nein in die Urne gelegt."
1322,8.2,8.2,91.8,"Freienbach SZ","91,8 der Stimmbürgerinnen und Stimmbürger von Freienbach haben die Pensionskassenreform abgelehnt. Damit ist in Freienbach die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 64,2 Prozent."
1323,75.8,75.8,24.2,"Wollerau SZ","75,8 Prozent der Stimmbürgerinnen und Stimmbürger in Wollerau haben Ja gesagt zur Pensionskassenreform. Damit hat in Wollerau seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 61,4 Prozent ein Nein in die Urne gelegt."
1331,43.2,43.2,56.8,"Küssnacht SZ","56,8 Prozent der Stimmbürgerinnen und Stimmbürger von Küssnacht SZ haben sich gegen die Pensionskassenreform ausgesprochen. Damit hat die Ablehung in Küssnacht SZ im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 68,1 Prozent."
1341,45,45,55,"Altendorf SZ","Altendorf ist gegen die Pensionskassenreform: Die Gemeinde hat die Vorlage mit 55 Prozent Nein verworfen. Damit hat die Ablehung in Altendorf im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 68 Prozent."
1342,21.5,21.5,78.5,"Galgenen SZ","78,5 der Stimmbürgerinnen und Stimmbürger von Galgenen haben die Pensionskassenreform abgelehnt. Damit ist in Galgenen die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 73,7 Prozent."
1343,71.6,71.6,28.4,"Innerthal SZ","71,6 Prozent der Stimmbürgerinnen und Stimmbürger von Innerthal haben sich für die Pensionskassenreform ausgesprochen. Damit hat in Innerthal seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 91,9 Prozent ein Nein in die Urne gelegt."
1344,3.4,3.4,96.6,"Lachen SZ","96,6 der Stimmbürgerinnen und Stimmbürger von Lachen haben die Pensionskassenreform abgelehnt. Damit ist in Lachen die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 69,4 Prozent."
1345,42.1,42.1,57.9,"Reichenburg SZ","Mit 9'727 Nein zu 7'067 Ja haben die Stimmbürgerinnen und Stimmbürger von Reichenburg die Pensionskassenreform abgelehnt. Das sind 57,9 Prozent. Damit hat die Ablehung in Reichenburg im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 78,9 Prozent."
1346,81.5,81.5,18.5,"Schübelbach SZ","81,5 Prozent der Stimmbürgerinnen und Stimmbürger in Schübelbach haben Ja gesagt zur Pensionskassenreform. Damit hat in Schübelbach seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 77,9 Prozent ein Nein in die Urne gelegt."
1347,24.2,24.2,75.8,"Tuggen SZ","In Tuggen ist die Pensionskassenreform mit 75,8 Prozent gescheitert. Damit ist in Tuggen die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 73,3 Prozent."
1348,41.2,41.2,58.8,"Vorderthal SZ","In Vorderthal hat die Pensionskassenreform keine Mehrheit gefunden: 58,8 Prozent haben die Vorlage abgelehnt. Damit hat die Ablehung in Vorderthal im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 78,9 Prozent."
1349,41.8,41.8,58.2,"Wangen SZ","Mit 7'159 Nein zu 5'149 Ja haben die Stimmbürgerinnen und Stimmbürger von Wangen SZ die Pensionskassenreform abgelehnt. Das sind 58,2 Prozent. Damit hat die Ablehung in Wangen SZ im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 77,2 Prozent."
1361,58.3,58.3,41.7,"Alpthal SZ","Mit 58,3 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Alpthal für die Pensionskassenreform gestimmt. Damit hat in Alpthal seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 87,3 Prozent ein Nein in die Urne gelegt."
1362,31,31,69,"Arth SZ","Arth hat die Pensionskassenreform mit 69 Prozent Nein-Stimmen verworfen. Damit hat die Ablehung in Arth im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 70,1 Prozent."
1363,16,16,84,"Illgau SZ","Illgau ist gegen die Pensionskassenreform: Die Gemeinde hat die Vorlage mit 84 Prozent Nein verworfen. Damit ist in Illgau die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 76,9 Prozent."
1364,74.3,74.3,25.7,"Ingenbohl SZ","Die Pensionskassenreform ist in Ingenbohl mit 74,3 Prozent der Stimmen angenommen worden. Damit hat in Ingenbohl seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 65,3 Prozent ein Nein in die Urne gelegt."
1365,87.2,87.2,12.8,"Lauerz SZ","Mit 87,2 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Lauerz für die Pensionskassenreform gestimmt. Damit hat in Lauerz seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 75,5 Prozent ein Nein in die Urne gelegt."
1366,62.4,62.4,37.6,"Morschach SZ","Mit 1'632 Ja zu 985 Nein hat sich Morschach für die Pensionskassenreform ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 62,4 Prozent. Damit hat in Morschach seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 69,4 Prozent ein Nein in die Urne gelegt."
1367,20.5,20.5,79.5,"Muotathal SZ","In Muotathal hat die Pensionskassenreform keine Mehrheit gefunden: 79,5 Prozent haben die Vorlage abgelehnt. Damit ist in Muotathal die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 72 Prozent."
1368,50.9,50.9,49.1,"Oberiberg SZ","50,9 Prozent der Stimmbürgerinnen und Stimmbürger von Oberiberg haben sich für die Pensionskassenreform ausgesprochen. Damit hat in Oberiberg seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68 Prozent ein Nein in die Urne gelegt."
1369,22.7,22.7,77.3,"Riemenstalden SZ","77,3 der Stimmbürgerinnen und Stimmbürger von Riemenstalden haben die Pensionskassenreform abgelehnt. Damit ist in Riemenstalden die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 56 Prozent."
1370,15.8,15.8,84.2,"Rothenthurm SZ","In Rothenthurm hat die Pensionskassenreform keine Mehrheit gefunden: 84,2 Prozent haben die Vorlage abgelehnt. Damit ist in Rothenthurm die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 72,8 Prozent."
1371,32.7,32.7,67.3,"Sattel SZ","67,3 Prozent der Stimmbürgerinnen und Stimmbürger von Sattel haben sich gegen die Pensionskassenreform ausgesprochen. Damit hat die Ablehung in Sattel im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 70,2 Prozent."
1372,49.1,49.1,50.9,"Schwyz SZ","In Schwyz hat die Pensionskassenreform keine Mehrheit gefunden: 50,9 Prozent haben die Vorlage abgelehnt. Damit hat die Ablehung in Schwyz im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 66,1 Prozent."
1373,88.2,88.2,11.8,"Steinen SZ","Steinen hat die Pensionskassenreform angenommen. Die Gemeinde stimmte der Vorlage mit Ja-Stimmen-Anteil von 88,2 Prozent zu. Damit hat in Steinen seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 71,6 Prozent ein Nein in die Urne gelegt."
1374,46.3,46.3,53.7,"Steinerberg SZ","In Steinerberg ist die Pensionskassenreform mit 53,7 Prozent gescheitert. Damit hat die Ablehung in Steinerberg im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 71,3 Prozent."
1375,43.5,43.5,56.5,"Unteriberg SZ","Unteriberg ist gegen die Pensionskassenreform: Die Gemeinde hat die Vorlage mit 56,5 Prozent Nein verworfen. Damit hat die Ablehung in Unteriberg im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 71,1 Prozent."
