"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4401,65.7,65.7,34.3,"Arbon TG","NA NA"
4406,90,90,10,"Dozwil TG","NA NA"
4411,71.4,71.4,28.6,"Egnach TG","NA NA"
4416,74.1,74.1,25.9,"Hefenhofen TG","NA NA"
4421,34.2,34.2,65.8,"Horn TG","NA NA"
4426,24.6,24.6,75.4,"Kesswil TG","NA NA"
4431,59.9,59.9,40.1,"Roggwil TG","NA NA"
4436,69.3,69.3,30.7,"Romanshorn TG","NA NA"
4441,17.2,17.2,82.8,"Salmsach TG","NA NA"
4446,64.5,64.5,35.5,"Sommeri TG","NA NA"
4451,40.5,40.5,59.5,"Uttwil TG","NA NA"
4461,71.8,71.8,28.2,"Amriswil TG","NA NA"
4471,49.4,49.4,50.6,"Bischofszell TG","NA NA"
4476,56.8,56.8,43.2,"Erlen TG","NA NA"
4486,84.5,84.5,15.5,"Hauptwil-Gottshaus TG","NA NA"
4495,6.6,6.6,93.4,"Hohentannen TG","NA NA"
4501,15.5,15.5,84.5,"Kradolf-Schönenberg TG","NA NA"
4506,35,35,65,"Sulgen TG","NA NA"
4511,41.7,41.7,58.3,"Zihlschlacht-Sitterdorf TG","NA NA"
4536,72.1,72.1,27.9,"Basadingen-Schlattingen TG","NA NA"
4545,59.3,59.3,40.7,"Diessenhofen TG","NA NA"
4546,54.2,54.2,45.8,"Schlatt TG","NA NA"
4551,39.5,39.5,60.5,"Aadorf TG","NA NA"
4561,27.4,27.4,72.6,"Felben-Wellhausen TG","NA NA"
4566,61.3,61.3,38.7,"Frauenfeld TG","NA NA"
4571,62.3,62.3,37.7,"Gachnang TG","NA NA"
4590,86.1,86.1,13.9,"Hüttlingen TG","NA NA"
4591,54,54,46,"Matzingen TG","NA NA"
4601,34.9,34.9,65.1,"Neunforn TG","NA NA"
4606,49.1,49.1,50.9,"Stettfurt TG","NA NA"
4611,66.2,66.2,33.8,"Thundorf TG","NA NA"
4616,42.7,42.7,57.3,"Uesslingen-Buch TG","NA NA"
4621,11,11,89,"Warth-Weiningen TG","NA NA"
4641,51.5,51.5,48.5,"Altnau TG","NA NA"
4643,49.5,49.5,50.5,"Bottighofen TG","NA NA"
4646,14.1,14.1,85.9,"Ermatingen TG","NA NA"
4651,17.4,17.4,82.6,"Gottlieben TG","NA NA"
4656,86.7,86.7,13.3,"Güttingen TG","NA NA"
4666,42.3,42.3,57.7,"Kemmental TG","NA NA"
4671,30.5,30.5,69.5,"Kreuzlingen TG","NA NA"
4681,71.1,71.1,28.9,"Langrickenbach TG","NA NA"
4683,23.3,23.3,76.7,"Lengwil TG","NA NA"
4691,39.9,39.9,60.1,"Münsterlingen TG","NA NA"
4696,73,73,27,"Tägerwilen TG","NA NA"
4701,45.3,45.3,54.7,"Wäldi TG","NA NA"
4711,27.8,27.8,72.2,"Affeltrangen TG","NA NA"
4716,41.8,41.8,58.2,"Bettwiesen TG","NA NA"
4721,64.4,64.4,35.6,"Bichelsee-Balterswil TG","NA NA"
4723,49.1,49.1,50.9,"Braunau TG","NA NA"
4724,87.9,87.9,12.1,"Eschlikon TG","NA NA"
4726,76.7,76.7,23.3,"Fischingen TG","NA NA"
4741,99.2,99.2,0.8,"Lommis TG","NA NA"
4746,31.2,31.2,68.8,"Münchwilen TG","NA NA"
4751,51.8,51.8,48.2,"Rickenbach TG","NA NA"
4756,49.7,49.7,50.3,"Schönholzerswilen TG","NA NA"
4761,41.6,41.6,58.4,"Sirnach TG","NA NA"
4776,13.2,13.2,86.8,"Tobel-Tägerschen TG","NA NA"
4781,43.5,43.5,56.5,"Wängi TG","NA NA"
4786,39.1,39.1,60.9,"Wilen TG","NA NA"
4791,71.3,71.3,28.7,"Wuppenau TG","NA NA"
4801,31.5,31.5,68.5,"Berlingen TG","NA NA"
4806,36.5,36.5,63.5,"Eschenz TG","NA NA"
4811,80.4,80.4,19.6,"Herdern TG","NA NA"
4816,62.8,62.8,37.2,"Homburg TG","NA NA"
4821,49,49,51,"Hüttwilen TG","NA NA"
4826,63.2,63.2,36.8,"Mammern TG","NA NA"
4831,82.9,82.9,17.1,"Müllheim TG","NA NA"
4841,15.8,15.8,84.2,"Pfyn TG","NA NA"
4846,8.6,8.6,91.4,"Raperswilen TG","NA NA"
4851,19.5,19.5,80.5,"Salenstein TG","NA NA"
4864,35.5,35.5,64.5,"Steckborn TG","NA NA"
4871,95.2,95.2,4.8,"Wagenhausen TG","NA NA"
4881,51.8,51.8,48.2,"Amlikon-Bissegg TG","NA NA"
4891,12.1,12.1,87.9,"Berg TG","NA NA"
4901,73.7,73.7,26.3,"Birwinken TG","NA NA"
4911,43.2,43.2,56.8,"Bürglen TG","NA NA"
4921,29.1,29.1,70.9,"Bussnang TG","NA NA"
4941,56.4,56.4,43.6,"Märstetten TG","NA NA"
4946,76.3,76.3,23.7,"Weinfelden TG","NA NA"
4951,49.1,49.1,50.9,"Wigoltingen TG","NA NA"
