"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5001,50,0,0,"Arbedo-Castione (TI)","I risultati di questo comune non sono ancora noti."
5002,50,0,0,"Bellinzona (TI)","I risultati di questo comune non sono ancora noti."
5003,34.7,34.7,65.3,"Cadenazzo (TI)","Nel comune di Cadenazzo, i cittadini hanno respinto la riforma LPP con il 65,3 per cento di voti contrari. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 80,7 per cento degli abitanti di Cadenazzo aveva respinto un adeguamento dell'aliquota minima di conversione."
5009,37.3,37.3,62.7,"Isone (TI)","Gli abitanti di Isone hanno respinto la riforma LPP con il 62,7 per cento di ""no"". Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 79,9 per cento degli abitanti di Isone aveva respinto un adeguamento dell'aliquota minima di conversione."
5010,37.4,37.4,62.6,"Lumino (TI)","I cittadini di Lumino hanno respinto la riforma LPP con il 62,6 per cento di voti contrari. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 83,8 per cento degli abitanti di Lumino aveva respinto un adeguamento dell'aliquota minima di conversione."
5017,34.3,34.3,65.7,"Sant'Antonino (TI)","I cittadini di Sant'Antonino hanno respinto la riforma LPP con il 65,7 per cento di voti contrari. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 88,6 per cento degli abitanti di Sant'Antonino aveva respinto un adeguamento dell'aliquota minima di conversione."
5048,43.7,43.7,56.3,"Acquarossa (TI)","Gli elettori di Acquarossa si sono mostrati scettici nei confronti della riforma LPP, che è stata respinta con il 56,3 per cento di voti contrari. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 72,7 per cento degli abitanti di Acquarossa aveva respinto un adeguamento dell'aliquota minima di conversione."
5049,50,0,0,"Blenio (TI)","I risultati di questo comune non sono ancora noti."
5050,39.9,39.9,60.1,"Serravalle (TI)","I cittadini di Serravalle hanno respinto la riforma LPP con il 60,1 per cento di voti contrari. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 81,4 per cento degli abitanti di Serravalle aveva respinto un adeguamento dell'aliquota minima di conversione."
5061,44.7,44.7,55.3,"Airolo (TI)","Nel comune di Airolo, i cittadini hanno respinto la riforma LPP con il 55,3 per cento di voti contrari. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 80 per cento degli abitanti di Airolo aveva respinto un adeguamento dell'aliquota minima di conversione."
5063,43.4,43.4,56.6,"Bedretto (TI)","la riforma LPP è stata respinta dagli elettori di Bedretto, dove i ""no"" sono stati 30 e i voti favorevoli 23. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 65,4 per cento degli abitanti di Bedretto aveva respinto un adeguamento dell'aliquota minima di conversione."
5064,34.4,34.4,65.6,"Bodio (TI)","Nel comune di Bodio, i cittadini hanno respinto la riforma LPP con il 65,6 per cento di voti contrari. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 82,2 per cento degli abitanti di Bodio aveva respinto un adeguamento dell'aliquota minima di conversione."
5071,45.1,45.1,54.9,"Dalpe (TI)","la riforma LPP non ha passato la prova delle urne a Dalpe, dove è stata respinta con 50 voti contro i 41 a favore. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 70,9 per cento degli abitanti di Dalpe aveva respinto un adeguamento dell'aliquota minima di conversione."
5072,38.8,38.8,61.2,"Faido (TI)","I cittadini di Faido hanno respinto la riforma LPP con il 61,2 per cento di voti contrari. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 80,5 per cento degli abitanti di Faido aveva respinto un adeguamento dell'aliquota minima di conversione."
5073,36.8,36.8,63.2,"Giornico (TI)","la riforma LPP è stata respinta a Giornico, dove ha riscosso il 63,2 per cento di ""no"". Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 82,4 per cento degli abitanti di Giornico aveva respinto un adeguamento dell'aliquota minima di conversione."
5076,68.5,68.5,31.5,"Personico (TI)","Il 68,5 per cento degli elettori di Personico ha accolto la riforma LPP. Con questo risultato, Personico si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 80,7 per cento dei voti contrari.
"
5077,27,27,73,"Pollegio (TI)","A Pollegio gli abitanti si sono opposti alla riforma LPP con il 73 per cento di voti a sfavore. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 87,2 per cento degli abitanti di Pollegio aveva respinto un adeguamento dell'aliquota minima di conversione."
5078,56.8,56.8,43.2,"Prato (Leventina) (TI)","Nel comune di Prato (Leventina), i cittadini hanno accolto la riforma LPP con il 56,8 per cento di voti favorevoli. Con questo risultato, Prato (Leventina) si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 71,3 per cento dei voti contrari.
"
