"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5001,68.6,68.6,31.4,"Arbedo-Castione TI","Gli elettori di Arbedo-Castione si sono mostrati favorevoli alla legge sull'approvvigionamento elettrico, che ha ricevuto il 68,6 per cento di ""sì"". Arbedo-Castione ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5002,68.9,68.9,31.1,"Bellinzona TI","La legge sull'approvvigionamento elettrico è stata accolta a Bellinzona, dove ha riscosso il 68,9 per cento di voti a favore. Bellinzona ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5003,68.6,68.6,31.4,"Cadenazzo TI","Nel comune di Cadenazzo, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 68,6 per cento di voti favorevoli. Cadenazzo ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5009,69.8,69.8,30.2,"Isone TI","Gli abitanti di Isone hanno accolto la legge sull'approvvigionamento elettrico con il 69,8 per cento di ""sì"". Isone ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5010,71.1,71.1,28.9,"Lumino TI","I cittadini di Lumino hanno accolto la legge sull'approvvigionamento elettrico con il 71,1 per cento di voti a favore. Lumino ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5017,70.7,70.7,29.3,"Sant'Antonino TI","I cittadini di Sant'Antonino hanno accolto la legge sull'approvvigionamento elettrico con il 70,7 per cento di voti a favore. Sant'Antonino ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5048,67.5,67.5,32.5,"Acquarossa TI","Gli elettori di Acquarossa si sono mostrati favorevoli alla legge sull'approvvigionamento elettrico, che ha ricevuto il 67,5 per cento di ""sì"". Acquarossa ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5049,68.7,68.7,31.3,"Blenio TI","Gli elettori di Blenio si sono mostrati favorevoli alla legge sull'approvvigionamento elettrico, che ha ricevuto il 68,7 per cento di ""sì"". Blenio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5050,69.8,69.8,30.2,"Serravalle TI","I cittadini di Serravalle hanno accolto la legge sull'approvvigionamento elettrico con il 69,8 per cento di voti a favore. Serravalle ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5061,67.7,67.7,32.3,"Airolo TI","Nel comune di Airolo, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 67,7 per cento di voti favorevoli. Airolo ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5063,64.2,64.2,35.8,"Bedretto TI","La legge sull'approvvigionamento elettrico è stata accolta dagli elettori di Bedretto, dove i voti a favore sono stati 43 e quelli contrari 24. Bedretto ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5064,67.6,67.6,32.4,"Bodio TI","Nel comune di Bodio, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 67,6 per cento di voti favorevoli. Bodio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5071,67,67,33,"Dalpe TI","I cittadini di Dalpe hanno accolto la legge sull'approvvigionamento elettrico con il 67 per cento di voti a favore. Dalpe ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5072,66.4,66.4,33.6,"Faido TI","I cittadini di Faido hanno accolto la legge sull'approvvigionamento elettrico con il 66,4 per cento di voti a favore. Faido ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5073,70.8,70.8,29.2,"Giornico TI","La legge sull'approvvigionamento elettrico è stata accolta a Giornico, dove ha riscosso il 70,8 per cento di voti a favore. Giornico ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5076,72.4,72.4,27.6,"Personico TI","Il 72,4 per cento degli elettori di Personico ha accolto la legge sull'approvvigionamento elettrico. Personico ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5077,69.9,69.9,30.1,"Pollegio TI","A Pollegio gli abitanti hanno accolto la legge sull'approvvigionamento elettrico con il 69,9 per cento di ""sì"". Pollegio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5078,73.2,73.2,26.8,"Prato (Leventina) TI","Nel comune di Prato (Leventina), i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 73,2 per cento di voti favorevoli. Prato (Leventina) ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5079,64.7,64.7,35.3,"Quinto TI","Il 64,7 per cento degli elettori di Quinto ha accolto la legge sull'approvvigionamento elettrico. Quinto ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5091,63.5,63.5,36.5,"Ascona TI","La legge sull'approvvigionamento elettrico è stata accolta a Ascona, dove ha riscosso il 63,5 per cento di voti a favore. Ascona ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5096,68.3,68.3,31.7,"Brione sopra Minusio TI","Gli abitanti di Brione sopra Minusio hanno accolto la legge sull'approvvigionamento elettrico con il 68,3 per cento di ""sì"". Brione sopra Minusio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5097,52,52,48,"Brissago TI","Gli elettori di Brissago si sono mostrati favorevoli alla legge sull'approvvigionamento elettrico, che ha ricevuto il 52 per cento di ""sì""."
5108,73,73,27,"Gordola TI","I cittadini di Gordola hanno accolto la legge sull'approvvigionamento elettrico con il 73 per cento di voti a favore. Gordola ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5112,72.7,72.7,27.3,"Lavertezzo TI","Gli abitanti di Lavertezzo hanno accolto la legge sull'approvvigionamento elettrico con il 72,7 per cento di ""sì"". Lavertezzo ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5113,71.6,71.6,28.4,"Locarno TI","Gli abitanti di Locarno hanno accolto la legge sull'approvvigionamento elettrico con il 71,6 per cento di ""sì"". Locarno ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5115,69.3,69.3,30.7,"Losone TI","Nel comune di Losone, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 69,3 per cento di voti favorevoli. Losone ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5117,68.9,68.9,31.1,"Mergoscia TI","La legge sull'approvvigionamento elettrico ha passato la prova delle urne a Mergoscia, dove ha raccolto 62 voti favorevoli e 28 voti contrari. Mergoscia ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5118,68,68,32,"Minusio TI","La legge sull'approvvigionamento elettrico è stata accolta a Minusio, dove ha riscosso il 68 per cento di voti a favore. Minusio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5120,69.7,69.7,30.3,"Muralto TI","A Muralto gli abitanti hanno accolto la legge sull'approvvigionamento elettrico con il 69,7 per cento di ""sì"". Muralto ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5121,66,66,34,"Orselina TI","Nel comune di Orselina, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 66 per cento di voti favorevoli. Orselina ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
