"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5001,53.3,53.3,46.7,"Arbedo-Castione TI","Gli elettori di Arbedo-Castione si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 53,3 per cento di ""sì"". Arbedo-Castione ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5002,49.7,49.7,50.3,"Bellinzona TI","L'iniziativa per un freno ai costi del Centro è stata respinta a Bellinzona, dove ha riscosso il 50,3 per cento di ""no"". Bellinzona ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5003,53.7,53.7,46.3,"Cadenazzo TI","Nel comune di Cadenazzo, i cittadini hanno accolto l'iniziativa per un freno ai costi del Centro con il 53,7 per cento di voti favorevoli. Cadenazzo ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5009,35.6,35.6,64.4,"Isone TI","Gli abitanti di Isone hanno respinto l'iniziativa per un freno ai costi del Centro con il 64,4 per cento di ""no"". Il maggior numero di ""no"" nel canton Ticino è stato ottenuto a Isone."
5010,51.1,51.1,48.9,"Lumino TI","I cittadini di Lumino hanno accolto l'iniziativa per un freno ai costi del Centro con il 51,1 per cento di voti a favore. Lumino ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5017,60.4,60.4,39.6,"Sant'Antonino TI","I cittadini di Sant'Antonino hanno accolto l'iniziativa per un freno ai costi del Centro con il 60,4 per cento di voti a favore. Sant'Antonino ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5048,48.7,48.7,51.3,"Acquarossa TI","Gli elettori di Acquarossa si sono mostrati scettici nei confronti dell'iniziativa per un freno ai costi del Centro, che è stata respinta con il 51,3 per cento di voti contrari. Acquarossa ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5049,50.4,50.4,49.6,"Blenio TI","Gli elettori di Blenio si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 50,4 per cento di ""sì"". Blenio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5050,50.5,50.5,49.5,"Serravalle TI","I cittadini di Serravalle hanno accolto l'iniziativa per un freno ai costi del Centro con il 50,5 per cento di voti a favore. Serravalle ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5061,45,45,55,"Airolo TI","Nel comune di Airolo, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 55 per cento di voti contrari. Airolo ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5063,49.3,49.3,50.7,"Bedretto TI","L'iniziativa per un freno ai costi del Centro è stata respinta dagli elettori di Bedretto, dove i ""no"" sono stati 34 e i voti favorevoli 33. Bedretto ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5064,58,58,42,"Bodio TI","Nel comune di Bodio, i cittadini hanno accolto l'iniziativa per un freno ai costi del Centro con il 58 per cento di voti favorevoli. Bodio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5071,44.6,44.6,55.4,"Dalpe TI","I cittadini di Dalpe hanno respinto l'iniziativa per un freno ai costi del Centro con il 55,4 per cento di voti contrari. Dalpe ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5072,52.2,52.2,47.8,"Faido TI","I cittadini di Faido hanno accolto l'iniziativa per un freno ai costi del Centro con il 52,2 per cento di voti a favore. Faido ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5073,50,50,50,"Giornico TI","A Giornico è stato raggiunto un risultato di parità. L'iniziativa per un freno ai costi del Centro ha ricevuto 135 voti a favore e altrettanti contrari."
5076,56.8,56.8,43.2,"Personico TI","Il 56,8 per cento degli elettori di Personico ha accolto l'iniziativa per un freno ai costi del Centro. Personico ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5077,53,53,47,"Pollegio TI","A Pollegio gli abitanti hanno accolto l'iniziativa per un freno ai costi del Centro con il 53 per cento di ""sì"". Pollegio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5078,53.6,53.6,46.4,"Prato (Leventina) TI","Nel comune di Prato (Leventina), i cittadini hanno accolto l'iniziativa per un freno ai costi del Centro con il 53,6 per cento di voti favorevoli. Prato (Leventina) ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5079,53.7,53.7,46.3,"Quinto TI","Il 53,7 per cento degli elettori di Quinto ha accolto l'iniziativa per un freno ai costi del Centro. Quinto ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5091,47.5,47.5,52.5,"Ascona TI","L'iniziativa per un freno ai costi del Centro è stata respinta a Ascona, dove ha riscosso il 52,5 per cento di ""no"". Ascona ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5096,52.5,52.5,47.5,"Brione sopra Minusio TI","Gli abitanti di Brione sopra Minusio hanno accolto l'iniziativa per un freno ai costi del Centro con il 52,5 per cento di ""sì"". Brione sopra Minusio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5097,50.5,50.5,49.5,"Brissago TI","Gli elettori di Brissago si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 50,5 per cento di ""sì"". Brissago ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5108,48.8,48.8,51.2,"Gordola TI","I cittadini di Gordola hanno respinto l'iniziativa per un freno ai costi del Centro con il 51,2 per cento di voti contrari. Gordola ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5112,56.7,56.7,43.3,"Lavertezzo TI","Gli abitanti di Lavertezzo hanno accolto l'iniziativa per un freno ai costi del Centro con il 56,7 per cento di ""sì"". Lavertezzo ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5113,51.1,51.1,48.9,"Locarno TI","Gli abitanti di Locarno hanno accolto l'iniziativa per un freno ai costi del Centro con il 51,1 per cento di ""sì"". Locarno ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5115,48.7,48.7,51.3,"Losone TI","Nel comune di Losone, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 51,3 per cento di voti contrari. Losone ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5117,50.6,50.6,49.4,"Mergoscia TI","L'iniziativa per un freno ai costi del Centro ha passato la prova delle urne a Mergoscia, dove ha raccolto 45 voti favorevoli e 44 voti contrari. Mergoscia ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5118,47.7,47.7,52.3,"Minusio TI","L'iniziativa per un freno ai costi del Centro è stata respinta a Minusio, dove ha riscosso il 52,3 per cento di ""no"". Minusio ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5120,45.5,45.5,54.5,"Muralto TI","A Muralto gli abitanti si sono opposti all'iniziativa per un freno ai costi del Centro con il 54,5 per cento di voti a sfavore. Muralto ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5121,46.1,46.1,53.9,"Orselina TI","Nel comune di Orselina, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 53,9 per cento di voti contrari. Orselina ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5125,46.3,46.3,53.7,"Ronco sopra Ascona TI","Nel comune di Ronco sopra Ascona, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 53,7 per cento di voti contrari. Ronco sopra Ascona ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5131,53.5,53.5,46.5,"Tenero-Contra TI","Il 53,5 per cento degli elettori di Tenero-Contra ha accolto l'iniziativa per un freno ai costi del Centro. Tenero-Contra ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5136,44.5,44.5,55.5,"Onsernone TI","Gli abitanti di Onsernone hanno respinto l'iniziativa per un freno ai costi del Centro con il 55,5 per cento di ""no"". Onsernone ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5138,50.7,50.7,49.3,"Cugnasco-Gerra TI","Gli abitanti di Cugnasco-Gerra hanno accolto l'iniziativa per un freno ai costi del Centro con il 50,7 per cento di ""sì"". Cugnasco-Gerra ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5141,57.1,57.1,42.9,"Agno TI","Il 57,1 per cento degli elettori di Agno ha accolto l'iniziativa per un freno ai costi del Centro. Agno ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5143,57.8,57.8,42.2,"Aranno TI","Gli elettori di Aranno si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 57,8 per cento di ""sì"". Aranno ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5144,54.1,54.1,45.9,"Arogno TI","A Arogno gli abitanti hanno accolto l'iniziativa per un freno ai costi del Centro con il 54,1 per cento di ""sì"". Arogno ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5146,55.7,55.7,44.3,"Astano TI","L'iniziativa per un freno ai costi del Centro è stata accolta a Astano, dove ha riscosso il 55,7 per cento di voti a favore. Astano ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5148,50.2,50.2,49.8,"Bedano TI","L'iniziativa per un freno ai costi del Centro è stata accolta a Bedano, dove ha riscosso il 50,2 per cento di voti a favore. Bedano ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5149,59.6,59.6,40.4,"Bedigliora TI","Gli abitanti di Bedigliora hanno accolto l'iniziativa per un freno ai costi del Centro con il 59,6 per cento di ""sì"". Bedigliora ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5151,51.7,51.7,48.3,"Bioggio TI","I cittadini di Bioggio hanno accolto l'iniziativa per un freno ai costi del Centro con il 51,7 per cento di voti a favore. Bioggio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5154,55.2,55.2,44.8,"Bissone TI","Il 55,2 per cento degli elettori di Bissone ha accolto l'iniziativa per un freno ai costi del Centro. Bissone ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5160,48.6,48.6,51.4,"Brusino Arsizio TI","Gli abitanti di Brusino Arsizio hanno respinto l'iniziativa per un freno ai costi del Centro con il 51,4 per cento di ""no"". Brusino Arsizio ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5161,58.5,58.5,41.5,"Cademario TI","Gli elettori di Cademario si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 58,5 per cento di ""sì"". Cademario ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5162,55.6,55.6,44.4,"Cadempino TI","L'iniziativa per un freno ai costi del Centro è stata accolta a Cadempino, dove ha riscosso il 55,6 per cento di voti a favore. Cadempino ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5167,55.3,55.3,44.7,"Canobbio TI","Il 55,3 per cento degli elettori di Canobbio ha accolto l'iniziativa per un freno ai costi del Centro. Canobbio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5171,54.6,54.6,45.4,"Caslano TI","Gli elettori di Caslano si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 54,6 per cento di ""sì"". Caslano ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5176,42.5,42.5,57.5,"Comano TI","Gli elettori di Comano si sono mostrati scettici nei confronti dell'iniziativa per un freno ai costi del Centro, che è stata respinta con il 57,5 per cento di voti contrari. Comano ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5180,42.2,42.2,57.8,"Cureglia TI","L'iniziativa per un freno ai costi del Centro è stata respinta a Cureglia, dove ha riscosso il 57,8 per cento di ""no"". Cureglia ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5181,53.5,53.5,46.5,"Curio TI","Il 53,5 per cento degli elettori di Curio ha accolto l'iniziativa per un freno ai costi del Centro. Curio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5186,65.1,65.1,34.9,"Grancia TI","I cittadini di Grancia hanno accolto l'iniziativa per un freno ai costi del Centro con il 65,1 per cento di voti a favore. Grancia ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5187,47.2,47.2,52.8,"Gravesano TI","L'iniziativa per un freno ai costi del Centro è stata respinta a Gravesano, dove ha riscosso il 52,8 per cento di ""no"". Gravesano ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5189,47.7,47.7,52.3,"Lamone TI","L'iniziativa per un freno ai costi del Centro è stata respinta a Lamone, dove ha riscosso il 52,3 per cento di ""no"". Lamone ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5192,48.8,48.8,51.2,"Lugano TI","Il 51,2 per cento degli elettori di Lugano ha respinto l'iniziativa per un freno ai costi del Centro. Lugano ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5193,50.7,50.7,49.3,"Magliaso TI","L'iniziativa per un freno ai costi del Centro è stata accolta a Magliaso, dove ha riscosso il 50,7 per cento di voti a favore. Magliaso ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5194,47,47,53,"Manno TI","Nel comune di Manno, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 53 per cento di voti contrari. Manno ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5196,46.7,46.7,53.3,"Massagno TI","I cittadini di Massagno hanno respinto l'iniziativa per un freno ai costi del Centro con il 53,3 per cento di voti contrari. Massagno ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5198,54,54,46,"Melide TI","Gli elettori di Melide si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 54 per cento di ""sì"". Melide ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5199,56,56,44,"Mezzovico-Vira TI","A Mezzovico-Vira gli abitanti hanno accolto l'iniziativa per un freno ai costi del Centro con il 56 per cento di ""sì"". Mezzovico-Vira ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5200,53.1,53.1,46.9,"Miglieglia TI","Nel comune di Miglieglia, i cittadini hanno accolto l'iniziativa per un freno ai costi del Centro con il 53,1 per cento di voti favorevoli. Miglieglia ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5203,47.1,47.1,52.9,"Morcote TI","L'iniziativa per un freno ai costi del Centro è stata respinta a Morcote, dove ha riscosso il 52,9 per cento di ""no"". Morcote ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5205,45.2,45.2,54.8,"Muzzano TI","L'iniziativa per un freno ai costi del Centro è stata respinta a Muzzano, dove ha riscosso il 54,8 per cento di ""no"". Muzzano ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5206,40.6,40.6,59.4,"Neggio TI","Gli abitanti di Neggio hanno respinto l'iniziativa per un freno ai costi del Centro con il 59,4 per cento di ""no"". Neggio ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5207,46.1,46.1,53.9,"Novaggio TI","Gli elettori di Novaggio si sono mostrati scettici nei confronti dell'iniziativa per un freno ai costi del Centro, che è stata respinta con il 53,9 per cento di voti contrari. Novaggio ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5208,43.5,43.5,56.5,"Origlio TI","Nel comune di Origlio, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 56,5 per cento di voti contrari. Origlio ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5210,52,52,48,"Paradiso TI","Nel comune di Paradiso, i cittadini hanno accolto l'iniziativa per un freno ai costi del Centro con il 52 per cento di voti favorevoli. Paradiso ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5212,50.3,50.3,49.7,"Ponte Capriasca TI","A Ponte Capriasca gli abitanti hanno accolto l'iniziativa per un freno ai costi del Centro con il 50,3 per cento di ""sì"". Ponte Capriasca ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5214,48.5,48.5,51.5,"Porza TI","A Porza gli abitanti si sono opposti all'iniziativa per un freno ai costi del Centro con il 51,5 per cento di voti a sfavore. Porza ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5216,53.5,53.5,46.5,"Pura TI","Il 53,5 per cento degli elettori di Pura ha accolto l'iniziativa per un freno ai costi del Centro. Pura ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5221,54.1,54.1,45.9,"Savosa TI","I cittadini di Savosa hanno accolto l'iniziativa per un freno ai costi del Centro con il 54,1 per cento di voti a favore. Savosa ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5225,46.7,46.7,53.3,"Sorengo TI","Gli abitanti di Sorengo hanno respinto l'iniziativa per un freno ai costi del Centro con il 53,3 per cento di ""no"". Sorengo ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5226,50.4,50.4,49.6,"Capriasca TI","A Capriasca gli abitanti hanno accolto l'iniziativa per un freno ai costi del Centro con il 50,4 per cento di ""sì"". Capriasca ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5227,52.1,52.1,47.9,"Torricella-Taverne TI","Gli abitanti di Torricella-Taverne hanno accolto l'iniziativa per un freno ai costi del Centro con il 52,1 per cento di ""sì"". Torricella-Taverne ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5230,50.5,50.5,49.5,"Vernate TI","A Vernate gli abitanti hanno accolto l'iniziativa per un freno ai costi del Centro con il 50,5 per cento di ""sì"". Vernate ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5231,49.5,49.5,50.5,"Vezia TI","Il 50,5 per cento degli elettori di Vezia ha respinto l'iniziativa per un freno ai costi del Centro. Vezia ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5233,50,50,50,"Vico Morcote TI","A Vico Morcote è stato raggiunto un risultato di parità. L'iniziativa per un freno ai costi del Centro ha ricevuto 59 voti a favore e altrettanti contrari."
5236,43.5,43.5,56.5,"Collina d'Oro TI","Nel comune di Collina d'Oro, i cittadini hanno respinto l'iniziativa per un freno ai costi del Centro con il 56,5 per cento di voti contrari. Collina d'Oro ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5237,52.6,52.6,47.4,"Alto Malcantone TI","A Alto Malcantone gli abitanti hanno accolto l'iniziativa per un freno ai costi del Centro con il 52,6 per cento di ""sì"". Alto Malcantone ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5238,51.4,51.4,48.6,"Monteceneri TI","Nel comune di Monteceneri, i cittadini hanno accolto l'iniziativa per un freno ai costi del Centro con il 51,4 per cento di voti favorevoli. Monteceneri ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5239,51.9,51.9,48.1,"Tresa TI","Il 51,9 per cento degli elettori di Tresa ha accolto l'iniziativa per un freno ai costi del Centro. Tresa ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5240,54.3,54.3,45.7,"Val Mara TI","Il 54,3 per cento degli elettori di Val Mara ha accolto l'iniziativa per un freno ai costi del Centro. Val Mara ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5242,51.1,51.1,48.9,"Balerna TI","Il 51,1 per cento degli elettori di Balerna ha accolto l'iniziativa per un freno ai costi del Centro. Balerna ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5249,52.3,52.3,47.7,"Castel San Pietro TI","Gli elettori di Castel San Pietro si sono mostrati favorevoli all'iniziativa per un freno ai costi del Centro, che ha ricevuto il 52,3 per cento di ""sì"". Castel San Pietro ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5250,58.6,58.6,41.4,"Chiasso TI","Gli abitanti di Chiasso hanno accolto l'iniziativa per un freno ai costi del Centro con il 58,6 per cento di ""sì"". Chiasso ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5251,53.4,53.4,46.6,"Coldrerio TI","Il 53,4 per cento degli elettori di Coldrerio ha accolto l'iniziativa per un freno ai costi del Centro. Coldrerio ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
5254,49.7,49.7,50.3,"Mendrisio TI","Gli abitanti di Mendrisio hanno respinto l'iniziativa per un freno ai costi del Centro con il 50,3 per cento di ""no"". Mendrisio ha respinto l'iniziativa, contrariamente a quanto registrato a livello cantonale."
5257,57.1,57.1,42.9,"Morbio Inferiore TI","Il 57,1 per cento degli elettori di Morbio Inferiore ha accolto l'iniziativa per un freno ai costi del Centro. Morbio Inferiore ha accolto l'iniziativa, così come quanto avvenuto a livello cantonale."
