"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1201,50,0,0,"Altdorf UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1202,50,0,0,"Andermatt UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1203,50,0,0,"Attinghausen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1205,50,0,0,"Bürglen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1206,50,0,0,"Erstfeld UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1207,50,0,0,"Flüelen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1208,50,0,0,"Göschenen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1209,50,0,0,"Gurtnellen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1210,50,0,0,"Hospental UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1211,50,0,0,"Isenthal UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1212,50,0,0,"Realp UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1213,50,0,0,"Schattdorf UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1214,50,0,0,"Seedorf UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1215,50,0,0,"Seelisberg UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1216,50,0,0,"Silenen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1217,50,0,0,"Sisikon UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1218,50,0,0,"Spiringen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1219,50,0,0,"Unterschächen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1220,50,0,0,"Wassen UR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
