"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,50,0,0,"Aigle (VD)","Les résultats ne sont pas encore connus dans cette commune."
5402,42.8,42.8,57.2,"Bex (VD)","Les habitants de Bex rejettent l'initiative pour la biodiversité avec 57,2 pour cent de non."
5403,21.2,21.2,78.8,"Chessel (VD)","Les habitants de Chessel s'opposent à l'initiative pour la biodiversité avec 78,8 pour cent de non."
5404,42.1,42.1,57.9,"Corbeyrier (VD)","L'initiative pour la biodiversité échoue à Corbeyrier avec 57,9 pour cent des suffrages."
5405,37.1,37.1,62.9,"Gryon (VD)","L'initiative pour la biodiversité ne passe pas la rampe à Gryon avec 62,9 pour cent de non."
5406,36.2,36.2,63.8,"Lavey-Morcles (VD)","A Lavey-Morcles, les habitants disent non à 63,8 pour cent à l'initiative pour la biodiversité."
5407,41.7,41.7,58.3,"Leysin (VD)","L'initiative pour la biodiversité échoue à Leysin avec 58,3 pour cent des suffrages."
5408,29.5,29.5,70.5,"Noville (VD)","L'initiative pour la biodiversité ne passe pas la rampe à Noville avec 70,5 pour cent de non."
5409,32.7,32.7,67.3,"Ollon (VD)","L'initiative pour la biodiversité échoue à Ollon avec 67,3 pour cent des suffrages."
5410,23.6,23.6,76.4,"Ormont-Dessous (VD)","Les habitants d'Ormont-Dessous rejettent l'initiative pour la biodiversité avec 76,4 pour cent de non."
5411,20.5,20.5,79.5,"Ormont-Dessus (VD)","L'initiative pour la biodiversité échoue à Ormont-Dessus avec 79,5 pour cent des suffrages."
5412,50,0,0,"Rennaz (VD)","Les résultats ne sont pas encore connus dans cette commune."
5413,50,0,0,"Roche (VD)","Les résultats ne sont pas encore connus dans cette commune."
5414,50,0,0,"Villeneuve (VD)","Les résultats ne sont pas encore connus dans cette commune."
5415,31.2,31.2,68.8,"Yvorne (VD)","L'initiative pour la biodiversité ne passe pas la rampe à Yvorne avec 68,8 pour cent de non."
5422,38,38,62,"Aubonne (VD)","L'initiative pour la biodiversité ne passe pas la rampe à Aubonne avec 62 pour cent de non."
5423,27.9,27.9,72.1,"Ballens (VD)","A Ballens, les habitants disent non à 72,1 pour cent à l'initiative pour la biodiversité."
5424,26.5,26.5,73.5,"Berolle (VD)","Les habitants de Berolle rejettent l'initiative pour la biodiversité avec 73,5 pour cent de non."
5425,25.4,25.4,74.6,"Bière (VD)","Les habitants de Bière s'opposent à l'initiative pour la biodiversité avec 74,6 pour cent de non."
