"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,29,29,71,"Aigle (VD)","A Aigle, les habitants sont défavorables à l'initiative du Centre ""pour un frein aux coûts"" avec 71 pour cent des voix. Aigle a rejeté l'initiative, tout comme son canton."
5402,30.8,30.8,69.2,"Bex (VD)","Les habitants de Bex rejettent l'initiative du Centre ""pour un frein aux coûts"" avec 69,2 pour cent de non. Bex a rejeté l'initiative, tout comme son canton."
5403,26.6,26.6,73.4,"Chessel (VD)","Les habitants de Chessel s'opposent à l'initiative du Centre ""pour un frein aux coûts"" avec 73,4 pour cent de non. Chessel a rejeté l'initiative, tout comme son canton."
5404,36,36,64,"Corbeyrier (VD)","L'initiative du Centre ""pour un frein aux coûts"" échoue à Corbeyrier avec 64 pour cent des suffrages. Corbeyrier a rejeté l'initiative, tout comme son canton."
5405,30.3,30.3,69.7,"Gryon (VD)","L'initiative du Centre ""pour un frein aux coûts"" ne passe pas la rampe à Gryon avec 69,7 pour cent de non. Gryon a rejeté l'initiative, tout comme son canton."
5406,35,35,65,"Lavey-Morcles (VD)","A Lavey-Morcles, les habitants disent non à 65 pour cent à l'initiative du Centre pour un ""frein aux coûts"". Lavey-Morcles a rejeté l'initiative, tout comme son canton."
5407,29.8,29.8,70.2,"Leysin (VD)","L'initiative du Centre ""pour un frein aux coûts"" échoue à Leysin avec 70,2 pour cent des suffrages. Leysin a rejeté l'initiative, tout comme son canton."
5408,32.5,32.5,67.5,"Noville (VD)","L'initiative du Centre ""pour un frein aux coûts"" ne passe pas la rampe à Noville avec 67,5 pour cent de non. Noville a rejeté l'initiative, tout comme son canton."
5409,28.7,28.7,71.3,"Ollon (VD)","L'initiative du Centre ""pour un frein aux coûts"" échoue à Ollon avec 71,3 pour cent des suffrages. Ollon a rejeté l'initiative, tout comme son canton."
5410,29.5,29.5,70.5,"Ormont-Dessous (VD)","Les habitants d'Ormont-Dessous rejettent l'initiative du Centre ""pour un frein aux coûts"" avec 70,5 pour cent de non. Ormont-Dessous a rejeté l'initiative, tout comme son canton."
5411,30.8,30.8,69.2,"Ormont-Dessus (VD)","L'initiative du Centre ""pour un frein aux coûts"" échoue à Ormont-Dessus avec 69,2 pour cent des suffrages. Ormont-Dessus a rejeté l'initiative, tout comme son canton."
