"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6002,72.6,72.6,27.4,"Brig-Glis VS","72,6 Prozent der Abstimmenden in der Gemeinde Brig-Glis haben Ja gesagt zum Stromgesetz. Brig-Glis hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6004,73.7,73.7,26.3,"Eggerberg VS","Mit 70 Ja- zu 25 Nein-Stimmen hat Eggerberg das Stromgesetz angenommen. Eggerberg hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6007,70.5,70.5,29.5,"Naters VS","Ja zum Stromgesetz in Naters: Mit 70,5 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Naters hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6008,74.9,74.9,25.1,"Ried-Brig VS","Ja zum Stromgesetz in Ried-Brig. Die Gemeinde hat die Vorlage mit 74,9 Prozent der Stimmen angenommen. Ried-Brig hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6009,80.8,80.8,19.2,"Simplon VS","Die Stimmbevölkerung von Simplon hat sich mit 80 Ja- zu 19 für das Stromgesetz ausgesprochen. Simplon hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6010,74,74,26,"Termen VS","Die Gemeinde Termen hat das Stromgesetz mit 74 Prozent Ja-Stimmen angenommen. Termen hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6011,74.3,74.3,25.7,"Zwischbergen VS","Mit 26 Ja- zu 9 Nein-Stimmen hat Zwischbergen das Stromgesetz angenommen. Zwischbergen hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6021,53.3,53.3,46.7,"Ardon VS","Die Gemeinde Ardon hat das Stromgesetz mit 53,3 Prozent Ja-Stimmen angenommen. Ardon hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6022,54.6,54.6,45.4,"Chamoson VS","54,6 Prozent der Abstimmenden in der Gemeinde Chamoson haben Ja gesagt zum Stromgesetz. Chamoson hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6023,59.9,59.9,40.1,"Conthey VS","Ja zum Stromgesetz in Conthey. Die Gemeinde hat die Vorlage mit 59,9 Prozent der Stimmen angenommen. Conthey hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6024,56.8,56.8,43.2,"Nendaz VS","Die Gemeinde Nendaz hat das Stromgesetz mit 56,8 Prozent angenommen. Nendaz hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6025,56.3,56.3,43.7,"Vétroz VS","56,3 Prozent der Abstimmenden in der Gemeinde Vétroz haben Ja gesagt zum Stromgesetz. Vétroz hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6032,49.4,49.4,50.6,"Bourg-Saint-Pierre VS","Nein zum Stromgesetz in Bourg-Saint-Pierre. Mit 42 Nein- zu 41 Ja-Stimmen haben die Stimmberechtigten die Vorlage verworfen. Bourg-Saint-Pierre hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6033,59.3,59.3,40.7,"Liddes VS","Die Gemeinde Liddes hat das Stromgesetz mit 59,3 Prozent Ja-Stimmen angenommen. Liddes hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6034,55.8,55.8,44.2,"Orsières VS","55,8 Prozent der Abstimmenden in der Gemeinde Orsières haben Ja gesagt zum Stromgesetz. Orsières hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6035,48.2,48.2,51.8,"Sembrancher VS","Nein zum Stromgesetz in Sembrancher. Die Gemeinde hat die Vorlage mit 51,8 Prozent abgelehnt. Sembrancher hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6037,62.8,62.8,37.2,"Val de Bagnes VS","Ja zum Stromgesetz in Val de Bagnes. Die Gemeinde hat die Vorlage mit 62,8 Prozent der Stimmen angenommen. Val de Bagnes hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6052,67.5,67.5,32.5,"Bellwald VS","Ja zum Stromgesetz in Bellwald. Die Gemeinde hat die Vorlage mit 67,5 Prozent der Stimmen angenommen. Bellwald hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6054,76.6,76.6,23.4,"Binn VS","Mit 36 Ja- zu 11 Nein-Stimmen hat Binn das Stromgesetz angenommen. Binn hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6056,60.7,60.7,39.3,"Ernen VS","Die Gemeinde Ernen hat das Stromgesetz mit 60,7 Prozent angenommen. Ernen hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6057,68.9,68.9,31.1,"Fiesch VS","Die Gemeinde Fiesch hat das Stromgesetz mit 68,9 Prozent angenommen. Fiesch hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
