"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1701,83.3,83.3,16.7,"Baar ZG","NA NA"
1702,17.3,17.3,82.7,"Cham ZG","NA NA"
1703,18.7,18.7,81.3,"Hünenberg ZG","NA NA"
1704,43.2,43.2,56.8,"Menzingen ZG","NA NA"
1705,54.7,54.7,45.3,"Neuheim ZG","NA NA"
1706,36.7,36.7,63.3,"Oberägeri ZG","NA NA"
1707,48,48,52,"Risch ZG","NA NA"
1708,41.2,41.2,58.8,"Steinhausen ZG","NA NA"
1709,63.7,63.7,36.3,"Unterägeri ZG","NA NA"
1710,34.7,34.7,65.3,"Walchwil ZG","NA NA"
1711,67.6,67.6,32.4,"Zug ZG","NA NA"
