"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1701,41.2,41.2,58.8,"Baar ZG","Baar hat die Velonetz-Initiative mit 58,8 Prozent Nein abgelehnt."
1702,41.1,41.1,58.9,"Cham ZG","Keine Mehrheit für die Velonetz-Initiative in Cham. 58,9 Prozent haben sie verworfen."
1703,38,38,62,"Hünenberg ZG","Keine Mehrheit für die Velonetz-Initiative in Hünenberg. 62 Prozent haben sie verworfen."
1704,32.8,32.8,67.2,"Menzingen ZG","Menzingen hat die Velonetz-Initiative mit 67,2 Prozent Nein abgelehnt."
1705,28.2,28.2,71.8,"Neuheim ZG","Nein zur Velonetz-Initiative in Neuheim: 71,8 Prozent haben das Begehren abgelehnt."
1706,31.9,31.9,68.1,"Oberägeri ZG","Oberägeri hat die Velonetz-Initiative mit 68,1 Prozent Nein abgelehnt."
1707,39,39,61,"Risch ZG","Keine Mehrheit für die Velonetz-Initiative in Risch. 61 Prozent haben sie verworfen."
1708,42.1,42.1,57.9,"Steinhausen ZG","Nein zur Velonetz-Initiative in Steinhausen: 57,9 Prozent haben das Begehren abgelehnt."
1709,37.5,37.5,62.5,"Unterägeri ZG","Unterägeri hat die Velonetz-Initiative mit 62,5 Prozent Nein abgelehnt."
1710,29,29,71,"Walchwil ZG","Walchwil hat die Velonetz-Initiative mit 71 Prozent Nein abgelehnt."
1711,46.7,46.7,53.3,"Zug ZG","Nein zur Velonetz-Initiative in Zug: 53,3 Prozent haben das Begehren abgelehnt."
