"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Aeugst am Albis ZH","NA NA","Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis rejettent l'initiative pour la biodiversité avec 68 pour cent de non. Aeugst am Albis a rejeté l'initiative, tout comme son canton.","Aeugst am Albis ZH","NA NA"
"Affoltern am Albis ZH","NA NA","Affoltern am Albis (ZH)","C'est non à 60,3 pour cent à l'initiative pour la biodiversité à Affoltern am Albis. Affoltern am Albis a rejeté l'initiative, tout comme son canton.","Affoltern am Albis ZH","NA NA"
"Bonstetten ZH","NA NA","Bonstetten (ZH)","C'est oui à 70,8 pour cent à l'initiative pour la biodiversité à Bonstetten. Bonstetten a approuvé l'initiative, contrairement à son canton.","Bonstetten ZH","NA NA"
"Hausen am Albis ZH","NA NA","Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent oui à 64,1 pour cent à l'initiative pour la biodiversité. Hausen am Albis a approuvé l'initiative, contrairement à son canton.","Hausen am Albis ZH","NA NA"
"Hedingen ZH","NA NA","Hedingen (ZH)","Les habitants de Hedingen approuvent l'initiative pour la biodiversité avec 62,2 pour cent des voix. Hedingen a approuvé l'initiative, contrairement à son canton.","Hedingen ZH","NA NA"
"Kappel am Albis ZH","NA NA","Kappel am Albis (ZH)","C'est oui à 60,7 pour cent à l'initiative pour la biodiversité à Kappel am Albis. Kappel am Albis a approuvé l'initiative, contrairement à son canton.","Kappel am Albis ZH","NA NA"
"Knonau ZH","NA NA","Knonau (ZH)","Les habitants de Knonau approuvent l'initiative pour la biodiversité avec 57,1 pour cent des voix. Knonau a approuvé l'initiative, contrairement à son canton.","Knonau ZH","NA NA"
"Maschwanden ZH","NA NA","Maschwanden (ZH)","A Maschwanden, les habitants sont favorables à l'initiative pour la biodiversité avec 62,9 pour cent des suffrages. Maschwanden a approuvé l'initiative, contrairement à son canton.","Maschwanden ZH","NA NA"
"Mettmenstetten ZH","NA NA","Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent non à 56,3 pour cent à l'initiative pour la biodiversité. Mettmenstetten a rejeté l'initiative, tout comme son canton.","Mettmenstetten ZH","NA NA"
"Obfelden ZH","NA NA","Obfelden (ZH)","A Obfelden, les habitants disent oui à 72,5 pour cent à l'initiative pour la biodiversité. Obfelden a approuvé l'initiative, contrairement à son canton.","Obfelden ZH","NA NA"
